step,mean_vel_x,mean_abs_vx_error,p2_fault_active_mean,residual_action_mean_norm,final_action_mean_norm,base_action_mean_norm,residual_action_max_norm,mean_abs_yaw_error,done_count,no_nan_inf
1,0.044543568044900894,0.9554564356803894,0.0,1.0691956281661987,0.878588855266571,0.8877215385437012,1.3388910293579102,2.2480416297912598,0,True
2,0.04008970409631729,0.9599102735519409,0.0,1.8122278451919556,1.2499463558197021,1.2586420774459839,2.9163014888763428,3.1702749729156494,0,True
3,0.0513080433011055,0.9486919641494751,0.0,2.32309627532959,0.8615748882293701,0.875657856464386,3.0733158588409424,4.142706871032715,0,True
4,-0.027149870991706848,1.0271499156951904,0.0,2.567789077758789,0.7282547950744629,0.7436001300811768,3.3728439807891846,4.338648796081543,0,True
5,0.008643943816423416,0.9913560748100281,0.0,2.619640827178955,0.836823046207428,0.8525784015655518,3.227778196334839,3.1405811309814453,0,True
6,-0.008011672645807266,1.0080116987228394,0.0,2.1812329292297363,1.1751724481582642,1.1874628067016602,3.5301995277404785,2.2268896102905273,0,True
7,-0.006205197423696518,1.0062052011489868,0.0,1.7571873664855957,1.3841208219528198,1.393894910812378,2.8683226108551025,1.3346431255340576,0,True
8,0.13430771231651306,0.8656923174858093,0.0,1.487514853477478,1.6405338048934937,1.6497442722320557,3.31032395362854,0.9119778871536255,0,True
9,0.15575546026229858,0.8464380502700806,0.0,1.396590232849121,1.6231255531311035,1.630281925201416,2.8567352294921875,0.8108630776405334,0,True
10,0.1319139301776886,0.8680860996246338,0.0,1.1880998611450195,1.5837490558624268,1.5881671905517578,2.1163413524627686,0.7417187690734863,0,True
11,0.11630017310380936,0.8836998343467712,0.0,0.9900175333023071,1.4160799980163574,1.4193687438964844,1.2834199666976929,0.41332128643989563,0,True
12,0.13071802258491516,0.8692819476127625,0.0,1.0994285345077515,1.4317840337753296,1.436872124671936,2.180607557296753,0.4774188995361328,0,True
13,0.15676751732826233,0.8432325124740601,0.0,1.1499748229980469,1.4047799110412598,1.4116759300231934,2.475116491317749,0.37498873472213745,0,True
14,0.156666561961174,0.8433334827423096,0.0,1.110466480255127,1.3423283100128174,1.349305510520935,1.5059090852737427,0.3925512731075287,0,True
15,0.2209061086177826,0.779093861579895,0.0,1.1491601467132568,1.4126245975494385,1.4203615188598633,2.2020692825317383,0.30214887857437134,0,True
16,0.2439090758562088,0.7560909390449524,0.0,1.0854233503341675,1.3683080673217773,1.3759541511535645,1.833240270614624,0.300464004278183,0,True
17,0.28089505434036255,0.7191050052642822,0.0,1.0285117626190186,1.4438555240631104,1.450768232345581,1.9918456077575684,0.304246187210083,0,True
