step,mean_vel_x,mean_abs_vx_error,p2_fault_active_mean,mean_abs_yaw_error,done_count,no_nan_inf
1,0.15217526257038116,0.8478246927261353,0.0,0.658198356628418,0,True
2,0.06304354220628738,0.9369564056396484,0.0,0.611250638961792,0,True
3,0.11833678185939789,0.8816632032394409,0.0,0.6886276006698608,0,True
4,0.049477286636829376,0.9505226612091064,0.0,0.5719846487045288,0,True
5,0.06724388897418976,0.9327561259269714,0.0,0.760951042175293,0,True
6,0.0376998707652092,0.9623001217842102,0.0,0.8542319536209106,0,True
7,0.019414382055401802,0.9805856347084045,0.0,0.8440484404563904,0,True
8,-0.02449655346572399,1.0244965553283691,0.0,1.1671732664108276,0,True
9,-0.06907166540622711,1.069071650505066,0.0,1.215571403503418,0,True
10,-0.04681675136089325,1.0468168258666992,0.0,1.1496336460113525,0,True
11,0.05432078242301941,0.948351263999939,0.0,1.6966087818145752,0,True
12,0.11616102606058121,0.883838951587677,0.0,1.0153985023498535,0,True
13,0.10790513455867767,0.8920947909355164,0.0,0.8662850260734558,0,True
14,0.13121303915977478,0.8687869310379028,0.0,0.8618512749671936,0,True
15,0.20950648188591003,0.7904935479164124,0.0,0.552346408367157,0,True
16,0.23627737164497375,0.7637225985527039,0.0,0.4247456192970276,0,True
17,0.2596621513366699,0.7403378486633301,0.0,0.33589816093444824,0,True
18,0.31027454137802124,0.6982522010803223,0.0,0.2032196968793869,0,True
19,0.3818455934524536,0.628991961479187,0.0,0.34569495916366577,0,True
20,0.4553542137145996,0.5789940357208252,0.0,0.3682363033294678,0,True
21,0.48103439807891846,0.5189656019210815,0.0,0.330826073884964,0,True
22,0.441897988319397,0.558102011680603,0.0,0.3073718547821045,0,True
23,0.4180663824081421,0.5838785767555237,0.0,0.3223840892314911,0,True
24,0.4241662323474884,0.575833797454834,0.0,0.38123390078544617,0,True
25,0.4022045135498047,0.5977954864501953,0.0,0.4346691966056824,0,True
26,0.406452476978302,0.593547523021698,0.0,0.3764350414276123,0,True
27,0.4019808769226074,0.5980191230773926,0.0,0.2913520932197571,0,True
28,0.42457467317581177,0.5754253268241882,0.0,0.30981963872909546,0,True
29,0.4563877582550049,0.5436122417449951,0.0,0.3164065182209015,0,True
30,0.5106818675994873,0.5266951322555542,0.0,0.21033495664596558,0,True
31,0.5391799211502075,0.48387086391448975,0.0,0.21612854301929474,0,True
32,0.6599008440971375,0.38848769664764404,0.0,0.3299165368080139,0,True
33,0.7285726070404053,0.3427382707595825,0.0,0.34751251339912415,0,True
34,0.7322173714637756,0.2973589301109314,0.0,0.36814746260643005,0,True
35,0.710794985294342,0.3103068470954895,0.0,0.3685176372528076,0,True
36,0.6770472526550293,0.3231511116027832,0.0,0.3569934070110321,0,True
37,0.6968098878860474,0.34241825342178345,0.0,0.41015201807022095,0,True
38,0.726571798324585,0.35206305980682373,0.0,0.4946902394294739,0,True
39,0.6907951235771179,0.32699862122535706,0.0,0.41435572504997253,0,True
40,0.5748204588890076,0.42517954111099243,0.0,0.33014386892318726,0,True
41,0.6139382123947144,0.39444875717163086,0.0,0.2122102528810501,0,True
42,0.665896475315094,0.3763357996940613,0.0,0.3030100464820862,0,True
43,0.7260856032371521,0.3379797041416168,0.0,0.18385592103004456,0,True
44,0.7662067413330078,0.28919845819473267,0.0,0.19855250418186188,0,True
45,0.7899829149246216,0.2354021966457367,0.0,0.20738863945007324,0,True
46,0.7788206338882446,0.23444853723049164,0.0,0.20234315097332,0,True
47,0.7794194221496582,0.24975226819515228,0.0,0.14960739016532898,0,True
48,0.7591508626937866,0.3023693561553955,0.0625,0.25898313522338867,0,True
49,0.7819541692733765,0.2733355164527893,0.0625,0.20415250957012177,0,True
50,0.7475783824920654,0.25543075799942017,0.0625,0.13717558979988098,0,True
51,0.7643540501594543,0.24473491311073303,0.0625,0.18290501832962036,0,True
52,0.7768256664276123,0.2640812397003174,0.0625,0.1689431220293045,0,True
53,0.7984423637390137,0.2574021816253662,0.0625,0.1159452497959137,0,True
54,0.799900233745575,0.27788102626800537,0.0625,0.19563119113445282,0,True
55,0.7784588932991028,0.26691386103630066,0.0625,0.18619266152381897,0,True
56,0.7670332193374634,0.2466241717338562,0.0625,0.17951533198356628,0,True
57,0.778094470500946,0.25430479645729065,0.0625,0.17744818329811096,0,True
58,0.8022496700286865,0.25263145565986633,0.0625,0.12481522560119629,0,True
59,0.8135020732879639,0.22379010915756226,0.0625,0.10350706428289413,0,True
60,0.861784815788269,0.18880246579647064,0.0625,0.14093291759490967,0,True
61,0.8416298627853394,0.18778955936431885,0.0625,0.09363950788974762,0,True
62,0.8592841625213623,0.17845755815505981,0.0625,0.13238629698753357,0,True
63,0.8914273977279663,0.18607032299041748,0.0625,0.1576848328113556,0,True
