step,mean_vel_x,mean_abs_vx_error,p2_fault_active_mean,residual_action_mean_norm,final_action_mean_norm,base_action_mean_norm,residual_action_max_norm,mean_abs_yaw_error,done_count,no_nan_inf
1,0.04541639983654022,0.9545835852622986,0.0,1.0691956281661987,0.8649568557739258,0.8877215385437012,1.3388910293579102,2.208115577697754,0,True
2,0.04234416037797928,0.9576557874679565,0.0,1.8023226261138916,1.2389562129974365,1.26044762134552,2.9122440814971924,3.0835282802581787,0,True
3,0.05511689931154251,0.9448831081390381,0.0,2.295583486557007,0.8435790538787842,0.8780904412269592,3.0413661003112793,3.998192548751831,0,True
4,-0.019909895956516266,1.0199098587036133,0.0,2.529792308807373,0.7154362797737122,0.7537572979927063,3.360149383544922,4.1742472648620605,0,True
5,0.012879904359579086,0.9871200323104858,0.0,2.572390079498291,0.8108534812927246,0.850350558757782,3.177954912185669,3.0094046592712402,0,True
6,-0.008694376796483994,1.0086944103240967,0.0,2.153615951538086,1.1748747825622559,1.2057249546051025,3.4628195762634277,2.3824782371520996,0,True
7,0.010973071679472923,0.9890268445014954,0.0,1.8577587604522705,1.3030023574829102,1.3308850526809692,3.178812265396118,1.4984469413757324,0,True
8,0.11362602561712265,0.8863739967346191,0.0,1.5576753616333008,1.520287036895752,1.5451476573944092,3.401704788208008,1.0230889320373535,0,True
9,0.13613663613796234,0.8638633489608765,0.0,1.4808909893035889,1.604367733001709,1.6239967346191406,2.7247095108032227,0.9093468189239502,0,True
10,0.12960712611675262,0.8703928589820862,0.0,1.2745137214660645,1.5222949981689453,1.5341471433639526,2.258493423461914,0.6993412375450134,0,True
11,0.14218682050704956,0.8578132390975952,0.0,1.051002025604248,1.5283417701721191,1.5381115674972534,1.7997643947601318,0.37544381618499756,0,True
12,0.14070235192775726,0.8592976331710815,0.0,1.0174102783203125,1.4188308715820312,1.4282634258270264,1.9213494062423706,0.4285227656364441,0,True
13,0.15349335968494415,0.846506655216217,0.0,1.0743002891540527,1.40758216381073,1.4229161739349365,2.0594701766967773,0.3867484927177429,0,True
14,0.1839991807937622,0.8160008192062378,0.0,1.0610634088516235,1.2882130146026611,1.304978370666504,1.7246936559677124,0.32336151599884033,0,True
15,0.22786176204681396,0.772138237953186,0.0,1.1132149696350098,1.3751356601715088,1.3944299221038818,2.3856513500213623,0.3812739849090576,0,True
16,0.27136024832725525,0.7301440238952637,0.0,1.1817411184310913,1.4283336400985718,1.4502462148666382,2.5738680362701416,0.3207198679447174,0,True
17,0.3068758249282837,0.6931241750717163,0.0,1.1331661939620972,1.4864100217819214,1.5056464672088623,2.1533145904541016,0.3699473738670349,0,True
18,0.37035518884658813,0.6296447515487671,0.0,1.3194605112075806,1.5952914953231812,1.6200153827667236,2.752575159072876,0.24269089102745056,0,True
19,0.4852069616317749,0.5147930383682251,0.0,1.4007991552352905,1.7169067859649658,1.7452127933502197,2.371986150741577,0.152787983417511,0,True
20,0.5309849381446838,0.47545790672302246,0.0,1.462302565574646,1.6559010744094849,1.6840887069702148,2.6869146823883057,0.16914817690849304,0,True
21,0.5046178698539734,0.4953821301460266,0.0,1.277978539466858,1.5133005380630493,1.5364365577697754,2.2882843017578125,0.18178197741508484,0,True
