step,mean_vel_x,mean_abs_vx_error,p2_fault_active_mean,mean_abs_yaw_error,done_count,no_nan_inf
32,0.43361911177635193,0.5929470062255859,0.0078125,0.3164599537849426,0,True
33,0.43732815980911255,0.5942712426185608,0.0234375,0.3027854561805725,0,True
34,0.4653276801109314,0.5684984922409058,0.0234375,0.30078303813934326,0,True
35,0.4865291118621826,0.5429879426956177,0.03125,0.33635377883911133,0,True
36,0.4953283667564392,0.5209122896194458,0.0390625,0.3164777159690857,0,True
37,0.496170312166214,0.5249853730201721,0.046875,0.30695563554763794,0,True
38,0.5198002457618713,0.520340621471405,0.0625,0.3024958074092865,0,True
39,0.5377676486968994,0.5073367357254028,0.0703125,0.323105126619339,1,True
40,0.5523631572723389,0.4851527810096741,0.0859375,0.3297107517719269,0,True
41,0.5490012168884277,0.48941224813461304,0.09375,0.28337547183036804,0,True
42,0.5720041990280151,0.4684932231903076,0.09375,0.30756261944770813,0,True
43,0.580690324306488,0.44533276557922363,0.109375,0.27424100041389465,0,True
44,0.6013532876968384,0.4347766637802124,0.1171875,0.29649248719215393,0,True
45,0.6058762073516846,0.43827736377716064,0.125,0.2893485724925995,0,True
46,0.6346274614334106,0.4147123396396637,0.125,0.26696252822875977,0,True
47,0.6593612432479858,0.3943347632884979,0.125,0.27108287811279297,0,True
48,0.6873522996902466,0.3622083067893982,0.1328125,0.2804649770259857,0,True
49,0.692180335521698,0.36451980471611023,0.140625,0.2785881757736206,0,True
50,0.6824706196784973,0.38259270787239075,0.140625,0.2753515839576721,0,True
51,0.6716922521591187,0.39125871658325195,0.140625,0.2662169337272644,0,True
52,0.6750382781028748,0.39219483733177185,0.140625,0.2775718569755554,0,True
53,0.6824987530708313,0.3691709041595459,0.1640625,0.31341657042503357,0,True
54,0.6989120841026306,0.3572269082069397,0.1796875,0.32039356231689453,0,True
55,0.7021098732948303,0.36744508147239685,0.1953125,0.28258371353149414,0,True
56,0.7105944752693176,0.34219497442245483,0.203125,0.36498284339904785,0,True
57,0.6973960995674133,0.34840089082717896,0.2109375,0.29855018854141235,1,True
58,0.6991089582443237,0.32880842685699463,0.21875,0.26744240522384644,0,True
59,0.7125914096832275,0.3309592604637146,0.21875,0.22843745350837708,1,True
