epoch,train_loss_mse,val_mse,val_mae
1,0.03723587000075075,0.011794810513946886,0.0724378878200125
2,0.00940908810471109,0.007006636057639706,0.05574660941145613
3,0.006381436260443943,0.00475616615859933,0.04541865301559678
4,0.00494604710564603,0.003704218385710958,0.03949147675253355
5,0.003361181500556044,0.002809144040454769,0.03439377264570081
6,0.0027446641558983155,0.00299596161236437,0.037871505950319316
7,0.0025982342746666545,0.0020849712930394084,0.03042138772869795
8,0.0018267022748235855,0.0016081533499637279,0.02609192462116553
9,0.0023961379630248803,0.0016096968234188822,0.026444470806384693
10,0.0014422256408230833,0.001459477274345887,0.02562040006820388
11,0.0013929718200002235,0.0015437842149131778,0.026213465629745393
12,0.0011722284189767626,0.0011155076182381453,0.022053312571562025
13,0.001122350662868464,0.0009888579591176283,0.020773665304512755
14,0.001090562896213548,0.0010105412893549222,0.021872764129046585
15,0.0009434576194693708,0.0008481713516547047,0.01916547053621953
16,0.0010630077060745568,0.0008831740882478471,0.019492409028407643
17,0.0008952029609977679,0.0008621334917948018,0.020316802691320184
18,0.0007788081369966011,0.0008120414729122814,0.018529460919402604
19,0.0008654407377315997,0.000818393061468462,0.01982511082531792
20,0.0007644240922423046,0.0006381685857890649,0.01660228048860269
21,0.0007551056672723579,0.0008135612438112241,0.01952428431957754
22,0.0006574310751647184,0.0008270703663202215,0.020088851688473994
23,0.0007096182972271088,0.0006488027445452576,0.017495311309840313
24,0.0008629235174813804,0.000608641320453969,0.016382234506244233
25,0.0005466064022142094,0.0009164105856388304,0.02113308716636982
26,0.0006199467137172665,0.0005552034076904879,0.015740653502037797
27,0.0007396320410317047,0.00056453480313674,0.015876267087230406
28,0.0005118013905409215,0.0005191934985484135,0.015125769764087919
29,0.0005810501878905598,0.0005429582460564309,0.01579925379219938
30,0.0006693050164300713,0.0004893038627066795,0.014580210718099016
31,0.0005554695727939854,0.00048528265333118236,0.014650169349759903
32,0.0006078260875439236,0.0005808734887418598,0.016948132876287332
33,0.0004794407830893065,0.00046648876465301087,0.014767168825218528
34,0.0005251910367162207,0.0006358472984368069,0.017669971054837332
35,0.00047026400315794637,0.0008139569882401008,0.019832848088279054
36,0.0004996788243825549,0.0005811436915024401,0.016581176047310034
37,0.0006145973011408259,0.0004995029535468398,0.01569273882187432
38,0.0004887860265785435,0.00044312397784284177,0.01409418228494457
39,0.0005131927767229174,0.0014689534691227498,0.028584565312849315
40,0.000491450260104365,0.00040312753056103855,0.01341176976230758
41,0.00040238140293933803,0.0003882785915536218,0.013092518852352644
42,0.0004174730575437077,0.000497163647360351,0.015467752839734077
43,0.0005089479758336908,0.0003541521902498215,0.012205907223529934
44,0.0004167435078374143,0.00036879206505517647,0.012838472451657956
45,0.0006501800184350704,0.00048447539998729914,0.015413346487737501
46,0.0003351001141606529,0.00039992829691124377,0.01354695400052415
47,0.00038131160177453207,0.0003661707101468605,0.012647997561501093
48,0.0005048197024268177,0.0004161211490567301,0.013854812370944441
49,0.0003343150722322717,0.0008047024107687576,0.02133636335095002
50,0.0004289466472990721,0.000343400310924522,0.012530850745253386
51,0.0004944465545553145,0.0003990229103058094,0.013652008578628548
52,0.00037442426782191795,0.0007770808245728334,0.020871793079065715
53,0.0003500905183669118,0.0005126003863676338,0.016455601371954672
54,0.00040923061860019517,0.00047987652454467247,0.015598437314071577
55,0.0003489049951507796,0.00038332712862441736,0.013319566584703174
56,0.0004127646191896369,0.0004027252091779148,0.013902214080577796
57,0.00038872041349278353,0.0006442263540981935,0.017936339552111876
58,0.00035166900220995117,0.0005199718600819663,0.015737617533168977
59,0.00037241344930334717,0.00041967630652195475,0.014690250468016957
60,0.0003238897784936254,0.0003095526512564199,0.011847319640609668
61,0.0004618221287327517,0.00038823176066194153,0.013847370640258871
62,0.0003044241160226103,0.00030091771645186755,0.011678066758125666
63,0.0003237256040411135,0.0003481600745122719,0.012427990796292617
64,0.0003567841783031042,0.00030321482273062847,0.011541357134407336
65,0.00038150090306620336,0.00028376816469735845,0.011184596934564606
66,0.00030341279341540036,0.00032619595299024,0.012282709035188176
67,0.00033100067839844573,0.0002723610064596407,0.01103721650298287
68,0.0003983582713363277,0.00032784752350020253,0.01222029055990164
69,0.000289588143304606,0.0003054075191961092,0.011895439679124674
70,0.000352952747245963,0.00040739118337769465,0.014231244948082469
71,0.0002716920676040691,0.0004726783086472949,0.015507677855018864
72,0.0003569135437307745,0.0003568452695823844,0.013193747674125261
73,0.0003911437309232403,0.0008879265305211279,0.022713173021146643
74,0.0003147930004228435,0.00029002504139057973,0.011642690847168949
75,0.000272493327876743,0.0002729540276147781,0.011306737004251124
76,0.0003765882551314385,0.0002687719035098642,0.010959371906455932
77,0.00023878049095533136,0.000368961787161077,0.013347848104721335
78,0.0002833548164917915,0.0005707627428263315,0.01681238386006919
79,0.00035405981061630877,0.0007699408787886905,0.020718531606242124
80,0.00030279560541396204,0.00032018775907189555,0.012172027093805576
81,0.0003204036581352967,0.0004309733765412704,0.014565969363122794
82,0.00028313838401753636,0.00035755029302506617,0.013397541763280483
