epoch,train_loss_mse,val_mse,val_mae
1,0.03428184836563011,0.011494374034588407,0.07297923037811072
2,0.008649077387959381,0.00587020524570449,0.050477536524852686
3,0.005062753029107616,0.003937677817606673,0.04055885638070252
4,0.0037127724225727117,0.003075684586334689,0.036029131246129296
5,0.002915769417186477,0.0024872383092009744,0.03259173955681264
6,0.002320966382664659,0.0019486944411998477,0.029409954301710218
7,0.0018728788604370475,0.0015640341257664432,0.026828633261273976
8,0.0015815802927040717,0.0013094575002238079,0.024779644290499926
9,0.001363756952496517,0.0011534659185699935,0.0234657342878355
10,0.001187297008263853,0.0010050864150975968,0.022056910286880924
11,0.001113758858419496,0.0010520890348683376,0.022936648972069623
12,0.0010170193360784091,0.0009010267928133428,0.02141399641850568
13,0.0010064029337880486,0.0009025838452624378,0.021610856909691428
14,0.0009014227399372196,0.0008106900384363803,0.020380406119337488
15,0.0008473670521911905,0.0008528182394066702,0.02119098716965518
16,0.0008621706237864484,0.0007859499925659306,0.02015270409855102
17,0.0008155700307780318,0.0007189927063705614,0.019211410355302633
18,0.0007986310017213416,0.0007168643069228198,0.019271000974245975
19,0.0007852049708861374,0.0007710967598201634,0.020474125659672476
20,0.0007377440306982068,0.0006710494201115246,0.018619201885227667
21,0.0007334327378004649,0.000723439882285517,0.019558075288120896
22,0.0007405267371270514,0.0006262513598508957,0.018148905453747345
23,0.000710861463000107,0.0006722897036682487,0.01882017042333938
24,0.0007046152596573254,0.0007262363082575118,0.019497569247130375
25,0.0006721439768768014,0.0006321172476493489,0.018464295002195222
26,0.000699970086148979,0.0006687964025856268,0.018978394641874577
27,0.0006637983027230553,0.0006415205963073562,0.018408906374460545
28,0.0006815581943937467,0.0006129900641841555,0.017977065237152725
29,0.0006267501339926491,0.00067247531457837,0.018909370437499663
30,0.0006576875270896813,0.0005721901321312417,0.017520804344749136
31,0.0006344367449364543,0.0006028657168070256,0.018059435288077092
32,0.0006326861202783905,0.0005584319888450315,0.017307264383448154
33,0.0006150860015559003,0.0005687856647458879,0.01744154679459554
34,0.0006074518883268391,0.0005577022702537845,0.017428766094475284
35,0.0006063398183891883,0.0005905311646252128,0.017955133442552552
36,0.0006116431883485164,0.0005351723417836393,0.016976860202357263
37,0.0006029319818370739,0.0006020467017894473,0.01804256019667967
38,0.0006108213783157898,0.0005881555084732623,0.017954871681862928
39,0.0005817512306763369,0.0005279360561573216,0.016797445542878365
40,0.0005766307255684107,0.0005445966366439078,0.01716418559563784
41,0.0005832981174054091,0.0005576199764606098,0.017565100472512037
42,0.0005668986448828507,0.0006693858011591725,0.019263288000563043
43,0.0005605025437792853,0.0005975405690504048,0.017938118504149357
44,0.0005675863737489259,0.0005160163971364504,0.016754411493211066
45,0.0005480887247859808,0.0005113655844436444,0.01660936069809351
46,0.0005664394105434666,0.0005321501862917429,0.017079713561953806
47,0.0005577299012208459,0.0005079127927197895,0.016591195394673443
48,0.0005411566490108292,0.0005688393721658244,0.017716412958444415
49,0.0005260406550038837,0.0005493699491440474,0.017448912783178276
50,0.0005469790364120736,0.0005245779490826673,0.016959169720653255
51,0.0005438157078653569,0.0004951768230756425,0.016574945337128867
52,0.0005043879972759017,0.0005017523932969057,0.016545261740735923
53,0.0005282861814409812,0.0004931204654016086,0.016346387781718864
54,0.0005257007070670627,0.000468936265106188,0.015954465231841564
55,0.0005258462666177341,0.0005884793519788663,0.01774692362648207
56,0.0005220478615972432,0.000494320871995952,0.01652504447042649
57,0.0005153933408975745,0.00048051469743298075,0.016223444001273415
58,0.0005157871743900978,0.0005069025214975186,0.01692851904108394
59,0.0005184046715916345,0.0004916674395873571,0.01647708813520787
60,0.0005037140968828403,0.0005047855308919022,0.01664319380193648
61,0.0005018258954977488,0.0004985154441153017,0.01651941900122498
62,0.0005176614010377201,0.0005264344694986033,0.016885674854292713
63,0.0004893176262177648,0.00046692555308352264,0.01596984560553614
64,0.00048201019451343905,0.0004740396165399445,0.015963929090036737
65,0.0004892445683613006,0.00047925106148286674,0.01627991570293631
66,0.00047991876584435866,0.0004598576905533452,0.015822072400530966
67,0.0005093120767895508,0.0004905577124651005,0.01654635649600227
