epoch,train_loss_residual_mse,val_residual_mse,val_residual_mae,val_reconstructed_action_mse,val_reconstructed_action_mae
1,0.004182020313004067,0.0002424866738665418,0.01056737020584514,0.00024248667120811246,0.01056737029091488
2,0.0001554124290637507,0.00019948973046814023,0.009079394037028841,0.00019948972515128148,0.009079393951959102
3,0.00016139348354940396,0.00020652465367103462,0.009386899453099302,0.00020652465101260526,0.009386899453099302
4,0.00014671981984821575,0.00019878147703378092,0.009102881026520024,0.00019878147304613685,0.009102880856380545
5,0.00016078902771472336,0.00019676915234223373,0.009047597435368123,0.00019676915101301902,0.009047597690577341
6,0.00015748363981714673,0.00019681212053604776,0.009052571122766811,0.0001968121245236918,0.009052571122766811
7,0.0001477678569875995,0.0001999167087836172,0.009141605962987492,0.00019991670612518785,0.009141605792848014
8,0.00014783378779251999,0.00019443315722951816,0.00895483339297017,0.00019443316387559158,0.008954833733249129
9,0.0001471590501042086,0.00021698516780879984,0.009794889160580918,0.00021698516780879984,0.009794889245650657
10,0.00014751966619315095,0.00020011049499212274,0.009150881116702115,0.00020011048701683464,0.009150881116702115
11,0.0001493035102593078,0.00019638908068367387,0.009017801759053838,0.0001963890793544592,0.009017801588914359
12,0.00014295778043772178,0.00019252433183919383,0.008883391230119433,0.00019252432918076448,0.008883390889840475
13,0.00014312031211193702,0.00019128680372742198,0.008800569883683178,0.0001912868023982073,0.0088005697135437
14,0.00014300676049946862,0.00020396307886383206,0.009308721213053437,0.00020396308152226142,0.009308721383192916
15,0.00014527650215192728,0.00019496088470104074,0.008992316906726848,0.00019496088071339668,0.008992316906726848
16,0.00014069193181109042,0.00019492677838151235,0.008968680109424131,0.000194926775723083,0.008968680109424131
17,0.0001402850322644624,0.00019855881496552114,0.009173154416217636,0.00019855881363630646,0.009173154416217636
18,0.00013952875973988595,0.0001977437910326063,0.00910370662834338,0.00019774378837417693,0.00910370654327364
19,0.00014276506475960238,0.00019151384157041528,0.008820868969750519,0.00019151384422884464,0.008820868884680779
