epoch,train_loss_residual_mse,val_residual_mse,val_residual_mae,val_reconstructed_action_mse,val_reconstructed_action_mae
20,0.00013820293378064108,0.00019213143458816627,0.00885889208086583,0.00019213143990502499,0.00885889208086583
21,0.00013845925607759978,0.00019192411564498214,0.008957151798584997,0.00019192411298655276,0.008957151968724476
22,0.0001393189784512951,0.00019350679162875596,0.008961025193970984,0.0001935067942871853,0.008961025193970984
23,0.00013868739655205662,0.00019332485669835617,0.008959665439252333,0.00019332486733207363,0.008959665609391812
24,0.00013696069876906091,0.0001904939643875516,0.008824566951333336,0.00019049396305833693,0.008824567036403075
25,0.00013847473074699875,0.00019025643638228708,0.008859527211542097,0.0001902564416991458,0.008859527381681576
26,0.00013706014150882594,0.00018943706060050295,0.008774625229413352,0.00018943705528364424,0.008774625399552831
27,0.0001366504628157523,0.0001900112175408718,0.008817050614486089,0.00019001121488244243,0.008817050614486089
28,0.00013676454986135466,0.0001900357136382485,0.008813933148806678,0.00019003571762589254,0.00881393263838824
29,0.00013636822083811705,0.00019020614554478925,0.008812827242191158,0.0001902061482032186,0.008812827242191158
30,0.00013648885892007012,0.0001901278548000127,0.008838332000837227,0.00019012785081236864,0.008838332000837227
31,0.00013531273486076657,0.00019470764139058956,0.009016330648045977,0.00019470764271980424,0.009016330648045977
32,0.00013706208106405417,0.00018807824696584686,0.008760812540855253,0.0001880782443074175,0.008760812370715774
33,0.0001341168759414634,0.00018847104053812923,0.008753970041415815,0.00018847104319655859,0.008753969701136856
34,0.00013552603183507328,0.00018835777017977813,0.008777706370313929,0.00018835776885056346,0.00877770620017445
35,0.00013481740767417322,0.0001867611600384917,0.00867926681516513,0.0001867611600384917,0.008679266559955911
36,0.00013266783729870682,0.0001863241341892326,0.008689649576890066,0.00018632413551844727,0.008689649576890066
37,0.00013306436282565481,0.00019248050497269514,0.008940430320418863,0.00019248051028955389,0.008940430490558343
38,0.0001353268865094296,0.00018422824309983552,0.00859489660397897,0.0001842282444290502,0.00859489660397897
39,0.00013322726905484598,0.00018788614088469953,0.0087940332099578,0.00018788614354312892,0.008794033380097281
40,0.00013251195262245169,0.0001916351496899491,0.008883137382016302,0.00019163515101916379,0.008883137041737344
41,0.00013444111619030817,0.0001863125022315494,0.008679836527211602,0.00018631250488997878,0.008679836357072123
42,0.00013233605633968854,0.00019162732327390083,0.008905303323520377,0.00019162732327390083,0.008905303153380898
43,0.0001328120179028607,0.0001909032481971803,0.008888179295346195,0.0001909032402218922,0.008888179125206716
44,0.0001324657791537365,0.00018536710892261274,0.008725274316835273,0.0001853671115810421,0.008725274742183972
45,0.00013114570954845785,0.00018607485193853412,0.008723036131984942,0.00018607485725539283,0.008723035961845461
46,0.0001303383519400755,0.00018263738712890796,0.008587680393173227,0.00018263738712890796,0.008587680393173227
47,0.0001310647736383066,0.0001847934118905239,0.008651912215030255,0.0001847934118905239,0.008651912555309215
48,0.0001314994549612444,0.00018245782750514513,0.008564979958494897,0.0001824578221882864,0.008564980298773854
49,0.00012959455147766675,0.00019102492450918108,0.008877006150670122,0.00019102491919232236,0.00887700640587934
50,0.00013066944856474454,0.00018362061653377104,0.008641122905019508,0.0001836206191922004,0.008641122905019508
51,0.0001297552764040495,0.0001832308748383988,0.008625294403910536,0.0001832308748383988,0.008625294233771057
52,0.00013125809900266263,0.0001837536563020892,0.008650803416043587,0.0001837536563020892,0.008650803245904108
53,0.00012913298490143857,0.00019858084271123314,0.009139422648119238,0.00019858084536966252,0.00913942239291002
54,0.00013030709411934301,0.00018095605683142758,0.008550999172131238,0.00018095606480671568,0.008550999257200978
55,0.00012910028946957222,0.0001789875271052267,0.008445682068810264,0.00017898752976365607,0.008445682068810264
56,0.00012873384927724588,0.0001853981181719318,0.008753961024023411,0.00018539811950114648,0.008753961024023411
57,0.00012912778804326127,0.0001888057846468143,0.008854073475602532,0.00018880578863445833,0.008854073475602532
58,0.00012896573040690118,0.0001816189441686863,0.008603635818333764,0.00018161894682711566,0.008603635818333764
59,0.000128159575404522,0.00018109424730663895,0.008582988286612796,0.00018109424331899491,0.008582988286612796
60,0.0001276195040362156,0.00018371744450650438,0.008667323874414917,0.00018371744450650438,0.008667323704275438
61,0.00012950214566166416,0.0001817157296065498,0.008611602939731447,0.0001817157296065498,0.008611602684522227
62,0.00012665058293985496,0.00018960638527121352,0.00890856566296642,0.00018960638394199884,0.00890856566296642
63,0.00012701141424864679,0.0001820056419624365,0.008604180179597819,0.00018200564462086586,0.008604180264667558
64,0.00012705143635966757,0.00018300930804303708,0.00867613463242076,0.00018300931601832518,0.00867613463242076
65,0.00012686950213620566,0.0001895431332613504,0.008926125163137899,0.00018954313060292105,0.008926125248207639
66,0.00012648363558610587,0.00017983480044475903,0.008544360840066973,0.0001798348031031884,0.008544360840066973
67,0.00012655460239301207,0.000180884619517552,0.008613022073128376,0.000180884619517552,0.008613022243267855
68,0.00012677233718824687,0.00017759898691341978,0.008477042688055249,0.00017759898691341978,0.008477042773124988
69,0.00012535083290062275,0.00018015801361607675,0.008577032469069787,0.0001801580096284327,0.008577032639209265
70,0.0001354882122159669,0.00018266422530255455,0.008572444487870694,0.00018266422530255455,0.008572444487870694
71,0.00012580945350278088,0.00018254370806575657,0.008638178130911599,0.00018254371072418593,0.008638178301051078
72,0.00012463572419825326,0.00018229233894800716,0.008666867985680103,0.00018229234027722184,0.008666867985680103
73,0.0001263463082708434,0.0001774874019992856,0.008510468885648804,0.00017748739934085624,0.008510469055788283
74,0.00012515330288433675,0.00018335560834416845,0.008642691420879273,0.0001833556056857391,0.008642691420879273
75,0.00012422757431335734,0.00017982933737241554,0.008572297657500049,0.00017982933604320086,0.008572297827639528
76,0.0001239772985936555,0.00018415913324086833,0.00872676865188206,0.00018415913191165365,0.008726768822021539
77,0.00012411999000547978,0.00017791523632901789,0.008525766381442847,0.00017791523101215917,0.008525766381442847
78,0.00012284359840136438,0.00021494728497734495,0.009756683574874046,0.00021494729029420366,0.009756683489804305
79,0.00012473988514947272,0.00017505237507589377,0.008405896482828773,0.00017505238305118187,0.008405896482828773
80,0.00012286605208115754,0.0002331605155261374,0.010317909149187617,0.00023316051419692272,0.010317908979048137
81,0.00012450556122862815,0.00017679624891181171,0.00844135584720009,0.00017679624758259704,0.00844135593226983
82,0.00012247543020348767,0.000174785113867405,0.008405846121542897,0.00017478510855054627,0.008405846121542897
83,0.0001226787628506134,0.00019432232066325002,0.009183906891031114,0.0001943223219924647,0.009183907061170593
84,0.00012241054260905221,0.00017605234593967808,0.008426147334353727,0.00017605234195203405,0.008426147504493206
85,0.00012176388253100229,0.00017812527085779757,0.008485161148519776,0.00017812527085779757,0.008485160978380297
86,0.00015376563799705679,0.00024197950270007815,0.010828790876921852,0.00024197949738321943,0.010828790876921852
87,0.0001566068661762782,0.00018196184300944615,0.00854435633137077,0.00018196184965551954,0.008544356501510251
88,0.00012570806062072316,0.00017955870128784888,0.008497315657712513,0.0001795586999586342,0.008497315827851994
89,0.0001233850611760146,0.00018196833622316827,0.008619096562958206,0.00018196833755238295,0.008619096733097685
90,0.00012207768609785464,0.0001787745284277059,0.008494881387112276,0.00017877453241534996,0.008494881302042536
91,0.00012546662604309052,0.00018392650472092207,0.008702898082934769,0.0001839265033917074,0.008702898082934769
92,0.00012360193196816826,0.00017624507409329663,0.008427752430201545,0.000176245076751726,0.008427752770480502
93,0.00011971768360562283,0.00017239600200677746,0.008301624546329203,0.0001723959993483481,0.008301624546329203
94,0.00011920867961460355,0.00017790527785261948,0.00850549885624892,0.00017790527519419012,0.008505498515969961
95,0.0001221187122701226,0.0001754346771566902,0.008451326871385095,0.0001754346771566902,0.008451326871385095
96,0.00011859915822327887,0.00017416039891738724,0.008430262497939815,0.00017416039227131385,0.008430262497939815
97,0.0001221875766257551,0.00017816606445639167,0.008444330821065578,0.00017816606578560635,0.008444330991205057
98,0.00011836083525055475,0.00017056549793316737,0.008266018691866198,0.00017056549793316737,0.008266018947075418
99,0.00013585707342942465,0.0001834449953731113,0.008644508425448571,0.00018344499670232598,0.008644508085169613
100,0.00012129845001978564,0.00017540603258029065,0.008434747885032883,0.00017540603258029065,0.008434748055172362
