step,mean_vel_x,mean_abs_vx_error,p2_fault_active_mean,residual_action_mean_norm,final_action_mean_norm,base_action_mean_norm,residual_action_max_norm,mean_abs_yaw_error,done_count,no_nan_inf
1,0.024038834497332573,0.9759610891342163,0.0,1.0498050451278687,0.8696780204772949,0.9142557978630066,1.3388910293579102,1.9354606866836548,0,True
2,0.03838774934411049,0.9655495285987854,0.0,1.7967569828033447,1.5446523427963257,1.592767357826233,3.328603982925415,2.842860698699951,0,True
3,0.01957661472260952,0.9846503138542175,0.0,2.1716527938842773,0.9456346035003662,1.0137355327606201,3.335702419281006,4.007724761962891,0,True
4,-0.06919699162244797,1.0709593296051025,0.0,2.480985641479492,0.8202126026153564,0.8838810920715332,3.532806396484375,4.395719528198242,0,True
5,-0.045076169073581696,1.0450761318206787,0.0,2.526592254638672,0.9388975501060486,1.0030639171600342,3.3851256370544434,3.3298637866973877,0,True
6,-0.04884512722492218,1.0488451719284058,0.0,2.147512912750244,1.1295572519302368,1.1865233182907104,3.3440990447998047,2.5334434509277344,0,True
7,-0.006394278258085251,1.0063942670822144,0.0,1.9355957508087158,1.2936503887176514,1.3385310173034668,3.154705047607422,1.7465558052062988,0,True
8,0.05466143414378166,0.9453386068344116,0.0,1.7242333889007568,1.5240713357925415,1.5555636882781982,3.884099006652832,0.9814617037773132,0,True
9,0.10633637756109238,0.895846962928772,0.0,1.5364367961883545,1.660038948059082,1.6824193000793457,3.824164390563965,0.5958253145217896,0,True
10,0.12240129709243774,0.8803122639656067,0.0,1.4066370725631714,1.7070518732070923,1.718741536140442,3.5977792739868164,0.43467050790786743,0,True
11,0.11960731446743011,0.8855249881744385,0.0,1.2796077728271484,1.6887028217315674,1.6949386596679688,3.5567803382873535,0.31769126653671265,0,True
12,0.1520436704158783,0.8506561517715454,0.0,1.297687292098999,1.6931638717651367,1.702950358390808,3.5980966091156006,0.31036293506622314,0,True
13,0.1635957956314087,0.8392199277877808,0.0,1.2313259840011597,1.6310811042785645,1.6445906162261963,3.4295241832733154,0.29720112681388855,0,True
14,0.18412095308303833,0.8181067705154419,0.0,1.2221245765686035,1.576827049255371,1.592867374420166,3.3687753677368164,0.23674730956554413,0,True
15,0.20111167430877686,0.7988883256912231,0.0,1.2073918581008911,1.5418814420700073,1.5616828203201294,3.2595739364624023,0.23162272572517395,0,True
16,0.20047307014465332,0.7995269298553467,0.0,1.176335334777832,1.49970543384552,1.5230343341827393,3.098452091217041,0.2298017144203186,0,True
17,0.22078341245651245,0.7792166471481323,0.0,1.1917147636413574,1.505763292312622,1.5321913957595825,2.9724173545837402,0.2145233154296875,0,True
18,0.25728338956832886,0.7427166104316711,0.0,1.2769227027893066,1.548372507095337,1.5800188779830933,2.983750104904175,0.22628909349441528,0,True
19,0.2788279056549072,0.7222817540168762,0.0,1.2690316438674927,1.540834903717041,1.57393479347229,2.842785596847534,0.24853377044200897,0,True
20,0.28806763887405396,0.7126598358154297,0.0,1.3085384368896484,1.5295124053955078,1.5658745765686035,2.898163318634033,0.2531450390815735,0,True
21,0.30948495864868164,0.6935044527053833,0.0,1.3208953142166138,1.5270642042160034,1.5647740364074707,2.645285129547119,0.24187229573726654,0,True
22,0.3337436616420746,0.6706730723381042,0.0,1.3645349740982056,1.5207724571228027,1.5620603561401367,3.5357699394226074,0.23267653584480286,0,True
23,0.3601941168308258,0.6434025764465332,0.0,1.36531662940979,1.5102391242980957,1.5522370338439941,3.166930913925171,0.23065808415412903,0,True
24,0.37722593545913696,0.6287901401519775,0.0,1.3417938947677612,1.4693139791488647,1.51011323928833,3.099925994873047,0.24556788802146912,0,True
25,0.3952343165874481,0.6072987914085388,0.0,1.3667341470718384,1.4490382671356201,1.491790771484375,2.9025235176086426,0.21350808441638947,0,True
26,0.40877780318260193,0.5953289270401001,0.0,1.3503351211547852,1.4407172203063965,1.482893466949463,3.263345241546631,0.22188055515289307,0,True
27,0.4070708751678467,0.5945436954498291,0.0,1.3315131664276123,1.4330034255981445,1.4742136001586914,3.206559658050537,0.20085912942886353,0,True
28,0.4250052571296692,0.5780489444732666,0.0,1.3924486637115479,1.465134859085083,1.5107831954956055,3.415482521057129,0.20733997225761414,0,True
29,0.45056572556495667,0.554776132106781,0.0,1.4257771968841553,1.4875681400299072,1.5358796119689941,2.732250928878784,0.23156243562698364,0,True
30,0.4441487491130829,0.5616436004638672,0.0,1.3689204454421997,1.4469369649887085,1.4927384853363037,3.165940284729004,0.23929469287395477,0,True
31,0.4482020139694214,0.5535967350006104,0.0078125,1.3700693845748901,1.5005618333816528,1.547208547592163,2.5074996948242188,0.19717276096343994,0,True
32,0.449098140001297,0.5563764572143555,0.0078125,1.4010860919952393,1.4937503337860107,1.5417338609695435,3.800440549850464,0.2381674200296402,0,True
33,0.4790559411048889,0.5334148406982422,0.0234375,1.4097660779953003,1.5367493629455566,1.5855697393417358,2.9710257053375244,0.23897254467010498,0,True
34,0.48023340106010437,0.5256293416023254,0.0234375,1.362593412399292,1.469476580619812,1.5159201622009277,3.219700574874878,0.22623664140701294,0,True
35,0.49390819668769836,0.5110037922859192,0.03125,1.3478338718414307,1.4713640213012695,1.5169627666473389,2.430260181427002,0.21608877182006836,0,True
36,0.4902386963367462,0.5130982398986816,0.0390625,1.3536052703857422,1.4467358589172363,1.4932832717895508,2.8563578128814697,0.20338627696037292,0,True
37,0.489894300699234,0.5131062269210815,0.046875,1.4092543125152588,1.4920718669891357,1.5417287349700928,3.5643584728240967,0.2024044692516327,0,True
38,0.5111339092254639,0.49663427472114563,0.0625,1.4294569492340088,1.4842660427093506,1.5356277227401733,2.966106653213501,0.2089449018239975,0,True
39,0.5364962220191956,0.47519180178642273,0.0703125,1.4255963563919067,1.5037155151367188,1.5550585985183716,3.3270316123962402,0.21406662464141846,0,True
40,0.5312893390655518,0.47713279724121094,0.0859375,1.363492488861084,1.4601037502288818,1.5077569484710693,2.569669246673584,0.22863739728927612,0,True
41,0.5151697397232056,0.4895627498626709,0.09375,1.3953821659088135,1.4925882816314697,1.540897011756897,2.7746927738189697,0.2489796280860901,0,True
42,0.5516064167022705,0.4577193856239319,0.09375,1.3998736143112183,1.5284795761108398,1.5776658058166504,2.855131149291992,0.23442980647087097,0,True
43,0.5661454200744629,0.43881723284721375,0.109375,1.3901607990264893,1.4822492599487305,1.5322895050048828,2.6321167945861816,0.2309914529323578,0,True
44,0.568758487701416,0.43324029445648193,0.1171875,1.3711061477661133,1.4835636615753174,1.5309693813323975,2.583264112472534,0.20414090156555176,0,True
45,0.5462853908538818,0.45972126722335815,0.125,1.3798553943634033,1.4762051105499268,1.5242727994918823,2.54327130317688,0.20939286053180695,0,True
46,0.5592927932739258,0.44495752453804016,0.125,1.4063642024993896,1.5092229843139648,1.5578300952911377,3.704352378845215,0.20015233755111694,0,True
47,0.5489296913146973,0.4557783305644989,0.125,1.3580396175384521,1.4568021297454834,1.502929449081421,2.639683723449707,0.2235773354768753,0,True
48,0.5776400566101074,0.4301546812057495,0.1328125,1.4254693984985352,1.5158100128173828,1.5646538734436035,2.7153475284576416,0.19163057208061218,0,True
49,0.5911884307861328,0.4210100471973419,0.140625,1.4707990884780884,1.5302069187164307,1.5820622444152832,4.4833598136901855,0.18497169017791748,0,True
50,0.5836315751075745,0.4274654984474182,0.140625,1.4434378147125244,1.5330926179885864,1.5841797590255737,3.745955228805542,0.20057378709316254,0,True
51,0.5928423404693604,0.4244619607925415,0.140625,1.3838062286376953,1.515467882156372,1.562902569770813,2.696355104446411,0.19742262363433838,0,True
52,0.5852857232093811,0.4355013370513916,0.140625,1.3879305124282837,1.5022886991500854,1.5488464832305908,3.292079210281372,0.18536236882209778,0,True
53,0.6021482944488525,0.41745275259017944,0.1640625,1.4366562366485596,1.5437861680984497,1.5927515029907227,3.7253592014312744,0.19412830471992493,0,True
54,0.6103264093399048,0.40658074617385864,0.1796875,1.4182918071746826,1.4989492893218994,1.5467793941497803,4.06887674331665,0.21149827539920807,0,True
55,0.6237596869468689,0.40078842639923096,0.1953125,1.4579088687896729,1.548187255859375,1.5983636379241943,4.032644271850586,0.24645951390266418,0,True
56,0.6360318064689636,0.3869779407978058,0.203125,1.4393231868743896,1.4922475814819336,1.5413861274719238,4.06700325012207,0.2191290557384491,0,True
57,0.6481004953384399,0.3766169548034668,0.2109375,1.4602359533309937,1.5207939147949219,1.5711201429367065,4.231196403503418,0.20939548313617706,0,True
58,0.641679048538208,0.38448894023895264,0.21875,1.4532710313796997,1.4915239810943604,1.538454294204712,5.024491786956787,0.2024681121110916,0,True
