dataset_label,protocol,joint_id,joint_name,sample_count,active_sample_count,mean_vx_cmd,mean_velocity_x,mean_vx_error,median_vx_error,p90_vx_error,mean_abs_vx_error,median_abs_vx_error,p90_abs_vx_error,done_rate,survival_rate,mean_yaw_error,mean_abs_yaw_error
realistic_random,realistic_random,0,front_left_leg,15773,8205,1.0004515647888184,0.9074951410293579,-0.09295646101236343,-0.04601287841796875,0.10046864151954657,0.14560195803642273,0.08085203170776367,0.2751789093017578,0.0008241932416154187,0.9991758067583846,0.0241912379860878,0.16746501624584198
realistic_random,realistic_random,1,front_right_leg,12056,6763,1.0278849601745605,0.8905754089355469,-0.13730956614017487,-0.08783230185508728,0.053301915526390076,0.16728617250919342,0.10440197587013245,0.35920536518096924,0.0012441937624419377,0.9987558062375581,0.008266753517091274,0.16202646493911743
realistic_random,realistic_random,2,left_back_leg,15046,9614,0.8685506582260132,0.7420927286148071,-0.12645791471004486,-0.06292471289634705,0.08642026782035828,0.17161254584789276,0.09104180335998535,0.41958382725715637,0.0010634055562940316,0.998936594443706,0.023419678211212158,0.15851494669914246
realistic_random,realistic_random,3,right_back_leg,15006,8079,0.8487610220909119,0.7398355603218079,-0.10892535746097565,-0.05365496873855591,0.0711020827293396,0.14744046330451965,0.07687997817993164,0.3063966929912567,0.0010662401705984273,0.9989337598294016,0.047282908111810684,0.16254539787769318
realistic_random,realistic_random,4,front_left_foot,15545,9262,0.8970016241073608,0.6033729910850525,-0.29362863302230835,-0.15225613117218018,0.04420590996742249,0.31786471605300903,0.16076645255088806,0.8443930029869081,0.0017368928916050178,0.9982631071083949,0.01981232687830925,0.20431531965732574
realistic_random,realistic_random,5,front_right_foot,22744,12468,0.7737067937850952,0.596255362033844,-0.1774514764547348,-0.10145239531993866,0.06122330427169801,0.20779332518577576,0.11580738425254822,0.5133300662040712,0.0006155469574393247,0.9993844530425606,-0.005032726097851992,0.15883179008960724
realistic_random,realistic_random,6,left_back_foot,19522,10905,0.7839488387107849,0.6259397268295288,-0.1580091118812561,-0.10631582140922546,0.06612514555454257,0.19142195582389832,0.12316861748695374,0.4504520416259771,0.0005634668579039033,0.9994365331420961,0.007726370822638273,0.1608487218618393
realistic_random,realistic_random,7,right_back_foot,12308,6971,0.930544912815094,0.7928722500801086,-0.13767260313034058,-0.04799368977546692,0.10410065352916718,0.1921693980693817,0.08960358798503876,0.5263430058956148,0.0012999675008124798,0.9987000324991875,0.01604311354458332,0.17403286695480347
late_random,late_random,0,front_left_leg,15773,7749,1.0004515647888184,0.9079111218452454,-0.092540442943573,-0.04448807239532471,0.10324590802192701,0.14703407883644104,0.08205544948577881,0.2767878770828249,0.0008241932416154187,0.9991758067583846,0.0167978685349226,0.170370414853096
late_random,late_random,1,front_right_leg,12056,5767,1.0278849601745605,0.8777288794517517,-0.15015611052513123,-0.09752145409584045,0.050274670124053955,0.17773939669132233,0.11136242747306824,0.35190990567207336,0.0012441937624419377,0.9987558062375581,0.011959892697632313,0.1619074046611786
late_random,late_random,2,left_back_leg,15046,7458,0.8685506582260132,0.7759422063827515,-0.09260840713977814,-0.04831323027610779,0.09335675835609436,0.14336484670639038,0.0797644853591919,0.29412584006786346,0.0010634055562940316,0.998936594443706,0.01859765127301216,0.15564323961734772
late_random,late_random,3,right_back_leg,15006,6840,0.8487610220909119,0.7423362135887146,-0.1064247414469719,-0.05145817995071411,0.06820187717676163,0.1425417810678482,0.07316039502620697,0.2962883710861206,0.0010662401705984273,0.9989337598294016,0.043813277035951614,0.1596868485212326
late_random,late_random,4,front_left_foot,15545,7320,0.8970016241073608,0.6388751864433289,-0.258126437664032,-0.165948748588562,0.04170342683792118,0.2815786600112915,0.17334973812103271,0.658048689365387,0.0017368928916050178,0.9982631071083949,0.01253607589751482,0.19808563590049744
late_random,late_random,5,front_right_foot,22744,12072,0.7737067937850952,0.6156031489372253,-0.15810368955135345,-0.09575073421001434,0.05920099318027502,0.18749146163463593,0.10887107253074646,0.4277752101421357,0.0006155469574393247,0.9993844530425606,0.0023161512799561024,0.15773555636405945
late_random,late_random,6,left_back_foot,19522,8822,0.7839488387107849,0.648033082485199,-0.13591572642326355,-0.09109923243522644,0.068494699895382,0.17007461190223694,0.10769912600517273,0.40309092402458196,0.0005634668579039033,0.9994365331420961,0.009565536864101887,0.15567371249198914
late_random,late_random,7,right_back_foot,12308,6193,0.930544912815094,0.7918661236763,-0.13867877423763275,-0.042804598808288574,0.11282694339752197,0.19831141829490662,0.08932527899742126,0.612671095132828,0.0012999675008124798,0.9987000324991875,0.018596800044178963,0.1742178052663803
