source_root,velocity_mode,protocol,policy,alpha,selected_fault_joint_index,joint_name,mean_abs_vx_error_post_fault,p90_abs_vx_error_post_fault,torso_height_failure_rate,timeout_rate,post_fault_sample_count,post_fault_alive_sample_fraction,post_fault_done_sample_rate
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,late_random,a5,1,1,front_right_leg,0.26096085252224904,0.7575988113880158,,,6050,0.998016529,0.00198347107
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,late_random,a5,1,2,left_back_leg,0.2694234220336168,0.6260547876358036,,,7785,0.997687861,0.00231213873
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,late_random,a5,1,3,right_back_leg,0.4191055616736847,1.23946533203125,,,6857,0.998104127,0.00189587283
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,late_random,a5,1,4,front_left_foot,0.4964340169401154,1.0649629831314091,,,6455,0.998140976,0.00185902401
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,late_random,a5,1,5,front_right_foot,0.39141495905981094,0.8231297433376322,,,10958,0.99890491,0.00109509034
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,late_random,a5,1,6,left_back_foot,0.27285952444465433,0.6307238638401031,,,9806,0.999082195,0.000917805425
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,late_random,a5,1,7,right_back_foot,0.21847949064550518,0.5028199791908264,,,5763,0.997223668,0.00277633177
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a2_history,,0,front_left_leg,0.4241378357886487,0.928245335817337,,,8246,0.997089498,0.00291050206
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a2_history,,1,front_right_leg,0.4047323952548567,0.8274299383163453,,,6457,0.99783181,0.00216818956
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a2_history,,2,left_back_leg,0.3924313017741145,0.9827882051467893,,,9607,0.999063183,0.000936816904
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a2_history,,3,right_back_leg,0.5042150665517195,1.2690984129905707,,,8080,0.99789604,0.0021039604
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a2_history,,4,front_left_foot,0.385017989895312,0.7837272644042969,,,9222,0.999240946,0.000759054435
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a2_history,,5,front_right_foot,0.38183269803438724,0.7442516982555389,,,11964,0.998829823,0.0011701772
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a2_history,,6,left_back_foot,0.389476425446189,0.8505896449089052,,,11618,0.99896712,0.00103288001
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a2_history,,7,right_back_foot,0.5402121030105597,1.1324382662773131,,,6604,0.997425803,0.00257419746
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a5,0.25,0,front_left_leg,0.35668834983212716,0.8316414654254913,,,8286,0.997827661,0.00217233888
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a5,0.25,1,front_right_leg,0.29347711457647774,0.6865258812904358,,,6983,0.997708721,0.00229127882
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a5,0.25,2,left_back_leg,0.41564142596776193,0.9961187541484833,,,9616,0.99812812,0.0018718802
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a5,0.25,3,right_back_leg,0.358731631295443,0.8157703101634979,,,8094,0.998270324,0.0017296763
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a5,0.25,4,front_left_foot,0.42379112364107835,0.8183099031448364,,,9231,0.998808363,0.00119163688
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a5,0.25,5,front_right_foot,0.31673793055458005,0.7267945706844331,,,12240,0.998447712,0.00155228758
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a5,0.25,6,left_back_foot,0.260255467298081,0.6362771987915039,,,10651,0.999342785,0.000657215285
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a5,0.25,7,right_back_foot,0.3185288745094303,0.6879737377166749,,,5828,0.99811256,0.00188743995
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a5,0.5,0,front_left_leg,0.23619272423768023,0.5709739446640015,,,8988,0.998331108,0.00166889186
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a5,0.5,1,front_right_leg,0.298085263313912,0.6419192612171172,,,7534,0.998009026,0.00199097425
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a5,0.5,2,left_back_leg,0.36525305507485384,1.005078101158142,,,9949,0.998693336,0.00130666399
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a5,0.5,3,right_back_leg,0.2953611025905568,0.6058405041694641,,,8091,0.998764059,0.00123594117
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a5,0.5,4,front_left_foot,0.3304933991066859,0.6818443775177001,,,7784,0.997687564,0.00231243577
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a5,0.5,5,front_right_foot,0.3237537413599808,0.7123006701469423,,,11695,0.99897392,0.00102607952
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a5,0.5,6,left_back_foot,0.2305488012399213,0.4392445683479309,,,10956,0.998995984,0.00100401606
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a5,0.5,7,right_back_foot,0.25101635834384733,0.47241319715976715,,,5836,0.996744345,0.00325565456
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a5,1,0,front_left_leg,0.20993928648347882,0.5249033570289612,,,8321,0.997956976,0.00204302368
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a5,1,1,front_right_leg,0.23558476692589442,0.5579310655593872,,,7051,0.997730818,0.00226918168
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a5,1,2,left_back_leg,0.2646994995815739,0.6051839590072632,,,9941,0.99828991,0.00171008953
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a5,1,3,right_back_leg,0.3899236802358759,0.873880821466446,,,8094,0.998640969,0.00135903138
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a5,1,4,front_left_foot,0.47390497958561345,1.117663013935089,,,7784,0.997687564,0.00231243577
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a5,1,5,front_right_foot,0.32131226613406383,0.6963641643524179,,,11963,0.999414862,0.000585137507
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a5,1,6,left_back_foot,0.302954840656009,0.6673701345920563,,,12034,0.998753532,0.00124646834
